TITLE,CATEGORY,TARGET
Don Draper and Steve Jobs Have Much in Common,t,1
World Autism awareness Day tomorrow,m,3
Brent Slides Towards $108 On Chinese Exports,b,2
US consumer sentiment up more than expected,b,2
Prince To Release New Album With New Warner Bros. Records Partnership,e,0
"New heart-disease guidelines could mean 12.8M new statin patients, NEJM  ...",m,3
Feds: T-Mobile Charged Customers for Spam Text Frauds,t,1
Kepler Telescope Discovers First Earth-Size Planet In 'Habitable Zone',t,1
"Reconfigurable Roombot modules can attach to existing furniture, or rearrange  ...",t,1
UN pledges to work with Kenya in combating terrorism,t,1
American Idol Season 13 Winner is Caleb Johnson!,e,0
Samsung's new tablets to have richer colours in screens,t,1
FDA issues warning over use of cutting tool for uterine fibroids,m,3
China sends ships to evacuate workers from Vietnam,b,2
Russia Could Increase Banks' Capital by up to $7.7Bln – Development Minister,b,2
Setback for high blood pressure treatment,m,3
Gold price edges lower,b,2
Bistro smart feeder can recognise your cat's face and monitor eating habits,t,1
New 12-sided £1 coin is said to be 'the hardest in the world to fake',b,2
Extinct Human Cousin Helped Tibetans Up High,t,1
"The Mad Men Style Report Card: Season 7, Episode 2",e,0
"Astronomers Discover the ""Mega Earth,"" an Entirely New Type of Planet",t,1
Computer to Predict Future Teenage Binge Drinking,m,3
Louisiana unemployment rate drops to 4.9 percent,b,2
Putin notifies Russian officials of Crimea's bid,m,3
"AAPL, KING, BBRY Among Hot Stocks to Watch Today",b,2
Experts: Pistorius not mentally ill at time of killing,m,3
Simple Blood Test Could Diagnose Cancer and Determine How Advanced the  ...,m,3
Microsoft rolls out bigger Surface tablet,t,1
Twitter Inc (NYSE:TWTR)'s executives turmoil continues: GS's Noto arrived  ...,b,2
Longer-term Treasuries rise,b,2
Netflix-Verizon spat grabs the FCC's attention,t,1
BlackBerry loses $423 million in Q4 as revenue plunges,t,1
Study finds fist bumps are less germy than handshakes,m,3
Neil deGrasse Tyson takes us on brilliant “Cosmos” voyage,t,1
10 Things to Know for Thursday - 26 June 2014,t,1
PHOTOS: More snapshots from Relay for Life in Weston,m,3
Tom Brady Selling House: Just-Built LA Mansion Listed for $50M,e,0
Tips to protect your skin from sunburn this summer,m,3
"Gold Falls, Palladium Climbs as Traders Mull Russia Sanctions",b,2
As Many As 5000 Red Robin Customers In Missouri Exposed To Hepatitis A,m,3
"Trex, Home Depot, and Lowes Are Down: What Should Investors Do?",b,2
Wireless-controlled Contraceptive Microchip Coming Soon,m,3
"'The Walking Dead' spoilers, Season 4 finale 'A': What will happen to Carl?",e,0
China Growth Slows to 7.4% -- 2nd Update,b,2
ZTE Is Selling The $99 Open C Firefox Phone Exclusively On Ebay,t,1
"Avicii hospitalized with blocked gall bladder, cancels Ultra Music Festival Show",e,0
US futures little changed ahead of data,b,2
Apple May Integrate Beats Audio in Future iPad Products,b,2
"Movie Review: 'Oculus' Starring Karen Gillan, Brenton Thwaites, Katee Sackhoff",e,0
Failed clamp caused acrobats' plunge,e,0
Cancer cured by measles vaccine,m,3
Bullying Scars Last For 40 Years,m,3
Angela Bassett to direct Whitney Houston biopic,e,0
"Rising CO2 levels threaten human nutrition, study says",m,3
Scientists urge world to embrace 'exciting' new technologies to tackle climate  ...,t,1
A drug to prevent Alzheimer's,m,3
Live-Action Titanfall Collaboration Incoming,t,1
"Gold Rises to Six-Month High on Ukraine, China Worries",b,2
Pistorius murder trial to resume after psychiatric evaluation,m,3
Got Drugs?,m,3
'Jungle Book' will likely be Lupita Nyong'o's next role,e,0
"Clinical Collaboration to Assess Incyte, BMS Cancer Compounds",m,3
"Internet Explorer Versions 6 to 11 Attacked by Hackers, Microsoft Responds",t,1
Argentina sues US over debt default,b,2
A Call To Speed Up Maritime Security Talks In Asia.,b,2
Jimmy Kimmel posts a selfie with Clinton family,e,0
Bonnaroovians Create Their Own Festival Traditions,e,0
Too Much TV May Be Linked To Death Risk In Young Adults,m,3
Rapper: Katy Perry Used My Song as 'Witchcraft',e,0
Movie Roundup: 'Neighbors' Bumps Spider-Man 2 Out of Number One Spo...,e,0
Channing Tatum and Mila Kunis (plus a little baby bump?) look ridiculously  ...,e,0
Insure Your Portfolio With Dividends From Travelers And These Other 4  ...,b,2
Teenage cheerleader turned hunter has pictures of her posing with shot animals  ...,t,1
Walmart gets back into buying and selling used video games,b,2
State to boost to mental health crisis reponse funding,m,3
AG Issues Warning About Wedding Planning Services,b,2
IRS: 318000 Fed Workers Owe $3.3 Billion in Back Taxes,b,2
Senators urges FDA to issue clear guidelines ensuring artisan cheese makers  ...,m,3
#CancelColbert: 'Racist' Colbert Report Tweet Irks Twitter,e,0
Lorraine Downes and her mother spearhead breast cancer education,m,3
Chinese Media: Russia and China Reach Major Gas Deal,b,2
Chemicals maker PPG Industries to buy Mexico's Comex for $2.3 bln,b,2
"Brazilian lawmakers approve bill of online rights, minus local storage requirements",t,1
EDITORIAL: America's woeful ranking,m,3
OKCupid conducts social experiment on users,t,1
He Will Try To Fix You: Chris Martin 'Keen To Work On Marriage With Gwyneth  ...,e,0
LG Launches First Android Wear Smartwatch For $229,t,1
WINDOWS WEEK: The end of Windows XP support may spell trouble for banks  ...,t,1
3000 types of bacteria found on US $1 bills,m,3
Is this Hollywood's most unexpected couple?,e,0
Project Morpheus is Sony's Virtual Reality System for PlayStation 4,t,1
Nuclear-level asteroids might be more common than we realize,t,1
Watch an emotional Beyoncé break down in tears on stage at her final Mrs  ...,e,0
Will China Devalue Its Currency?,b,2
Lindsay Lohan's mother pleads guilty in New York to driving while intoxicated,e,0
"Today's Hot Stocks: Wisconsin Energy (WEC), ParkerVision (PRKR), Meritor Inc  ...",b,2
Mom Arrested for Breastfeeding While Drinking Beer,m,3
JoCo adds another bragging right: Healthiest county in the state,m,3
Happy 8th Birthday Twitter,t,1
Hip Hip Hooray! Hippodrome Hosts Match Day For Md. Medical Students,m,3
Samsung Galaxy S5 Is A Small Upgrade From Galaxy S4,t,1
Massive Methane Leakage Found At US East Coast Ocean Floor,t,1
Keith Urban Concert Update: 17-Year-Old Girl Allegedly Raped,e,0
Orlando Bloom Was Spotted With A New Lady Whose Past Connects With  ...,e,0
"Microsoft's CEO may unveil Office for iPad on March 27, says source",t,1
United Nations Climate Report Says Cost Of Slowing Down Global Warming  ...,t,1
OFFBEAT: Garth Brooks announcement coming soon?,e,0
Here's one major new Yosemite and iOS 8 feature that got overlooked,t,1
TIAA-CREF to buy Nuveen Investments in $6.25B deal,b,2
USPS continues call for reforms after latest massive quarterly loss,b,2
Missouri-Based Company Recalls Beef Due to Mad Cow Disease Fear,m,3
Chelsea Handler's talk show will end in August; no love lost between her and E!,e,0
"Best Buy's profit exceeds expectations, shows signs of turnaround",b,2
American Cancer Society Relay for Life sets meetings,m,3
Miley Cyrus Flaunts Tattoo of Her Dog on Instagram,e,0
Oil slips closer to $103 as supply disruption fears continue to fade,b,2
"Asian stocks boosted by China trade, Yellen stance",b,2
Chinese Government Raids Microsoft Offices in Four Cities,t,1
AstraZeneca - buy or sell? We ask five experts,m,3
Scott leaves $10m estate to Jagger,e,0
Drive. Text. Pay. For Now.,t,1
CEO: Malaysia Airlines needs radical change,b,2
AMC's 'Walking Dead' Adds Trio As Season 5 Regulars,e,0
If All Of Hollywood Did Love The Goop Way,e,0
Doctors Confirm Headbanging Caused Motorhead Fan's Brain Injury,m,3
More than a third of Americans have a debt in collection: report,b,2
Once-Daily Inhaler Approved for COPD,m,3
Bank of America to pay 9.5 billion USD to settle mortgage allegation,b,2
US Warns Internet Explorer Users of Zero-day Threat; How Bad is the Bug?,t,1
Vampires Proven Correct: Blood of the Youth Is Probably the Secret to Living  ...,m,3
Washington state pot shops frantically sort out final details,b,2
GMO foods protested,b,2
“I'm a Fucking Indian Woman Who Has Her Own Fucking Show”: Mindy Kaling  ...,e,0
"S&P 500, Dow climb to records",b,2
Will Chiquita-Fyffes Merger Fly With Regulators?,b,2
Gwen Stefani in talks to join NBC's 'The Voice',e,0
Microsoft launches a new form to help Europeans become forgotten,t,1
"Girl shaves head for pal, breaks school dress code",m,3
"Inflation: Less triumphalism please, the cost of living crisis is far from over",b,2
The curse of Ebola,m,3
'Burger King Baby' finds mom who abandoned her in BK bathroom 27 years ago,t,1
Halley's Comet debris or Eta Aquarid meteor shower peaks tonight,t,1
Wal-Mart jumps into money transfers,b,2
Google+ Isn't Dead. It's Just In A Coma And On Life Support,t,1
Consumer Report: Surviving a Hospital Stay,m,3
U.S. auto sales maintain healthy pace in June,b,2
MH370 families to get millions - if they're American,b,2
Yellen back in spotlight after strong jobs report,b,2
No Benefit Found in First Real Test of Renal Denervation,m,3
"Oscar-nominated filmmaker, writer Paul Mazursky dies at 84",e,0
Spider-Man 2: Garfield fan of outfit,e,0
"Road Rager Cuts Woman Off, Suffers Instant Karma, And We Mean Instant [Video]",t,1
Chase Mortgage Rates: Fixed Home Loans and Refinance Mortgage Rates for  ...,b,2
Riots in Vietnam against Chinese territorial claims,b,2
FDA reports jerky treats imported from China making pets sick,m,3
Wayne Knight says he is not dead,e,0
"Procter & Gamble Posts Upbeat FQ4 Profit, Shares Gain",b,2
Microsoft's new Word Flow keyboard is the best smartphone text entry system,t,1
"WATCH: Astronauts celebrate World Cup, play soccer on Space Station",t,1
"Microsoft Developing Xbox Virtual Reality Devices, Claims Report",t,1
Weak net neutrality won't scare investors away from Internet startups,t,1
Even Levi Strauss CEO says it's OK not to wash your jeans,e,0
"With smartphone, Amazon seeks a tether to consumers",t,1
Philadelphia commuter rail workers go on strike,b,2
"Kansas girl, 9, dies due to rare brain-eating amoeba",m,3
Haslam says he hopes to fund higher education so institutions can be rewarded  ...,b,2
"Popular Weight Loss Drug, Alli, Recalled Due To Tampering",m,3
Mark Carney grilled over foreign exchange scandal,b,2
This is Titanfall Themed Xbox One Console Being Given to Respawn Employees  ...,t,1
Experimental drug offers promise in fight against measles,m,3
25 minutes of mindfulness meditation can be best stress buster,m,3
Possible Listeria Contamination Recall For Hummus Dips and Walnuts,m,3
Morning Futures Roundup,b,2
"Jupiter ""disappointed"" at AstraZeneca's rejection of Pfizer bid",b,2
Marquez leads the way in Grand Prix of the Americas practice,t,1
Google hit by 70000 'right to be forgotten' requests: report,t,1
Genetic treatment using three-parent embryo may be ready in two years,m,3
Tiffany & Co. Sees Unusually High Options Volume (TIF),b,2
"Despite Santa Barbara Tragedy, Mental Health Data Base is Working",m,3
​I Think Marvel Is Lying To Everybody About The New Female Thor,e,0
iPhone 6 Release Date Said To Be Delayed By Battery Problems,t,1
American Apparel Strikes Deal,b,2
Coldplay's Chris Martin and Gwyneth Paltrow Separate (Recap),e,0
"Turkey Mine Disaster: 25 Arrested, 3 Slapped with Charges of Manslaughter  ...",b,2
'Scandal' star Columbus Short arrested,e,0
UPDATED: 'L&HH ATL' Star Benzino Interviewed After Being Shot At Mother's  ...,e,0
"War Hero,1936 Olympian, Movie Subject, Louis Zamperini Dies At 97",e,0
Brain-Eating Amoeba Kills Kansas Child,m,3
Energy OPEC Secretary General Says No Shortage Of Oil,b,2
"Charlie Sheen Drunk, Meets Fans At Taco Bell Drive-Thru (VIDEO)",e,0
"Notable Movers – MannKind (NASDAQ:MNKD), Enertopia (OTCMKTS:ENRT  ...",m,3
MH370 Lost in Indian Ocean: India gets full support from Malaysia,b,2
Woman Spends Over $30000 to Look Like Kim Kardashian,e,0
'Chai for you!' Surprise guest Oprah announces tea deal at Starbucks meeting,e,0
Polio declared global emergency,m,3
Man who claimed 'X-Men' director abused him sues former TV exec,e,0
Mars-bound comet 'Siding Spring' sprouts jets,t,1
Ebola death toll in Guinea reduced to 61,m,3
"Black-Clad ""Jedi Hunters"" May be the Baddies in Star Wars: Episode VII",e,0
Samsung Galaxy Mega 2 With 64-bit Snapdragon 410,t,1
Miley Cyrus shows off lip tattoo,e,0
"So Long, Stirrups? Doctors Group Nixes Routine Pelvic Exams",m,3
Target taps outsider as CEO for first time in push to redefine itself with shoppers,b,2
US stocks slip below records; FMC falls,b,2
8+cases+of+Ebola+turn+up+in+Guinea%27s+capital,m,3
NASA's 'swarmies' to explore other Planets,t,1
Brad Pitt To Play General Stanley McChrystal,e,0
Mysterious 'magic island' detected on Saturn moon,t,1
Review: Smartwatches don't live up to all of the hype,t,1
GM executives for communications and HR step down amid recall crisis,b,2
Japan must stop whale hunting in Antarctic: top UN court,t,1
Nasdaq Leads Wall Street Higher in Quiet Session,b,2
Caught On Tape: EMT Driver Voguing,m,3
Marvel's superhero Thor is now a woman!,e,0
"Lab-Created Vaginas, Successfully Implanted in Four Women, Function Normally",m,3
Citywide Boil Water Notice Hits Portland Restaurants,m,3
Governor Malloy to speak at Washington events,b,2
"Chrysler (CGC) US Sales Up 13% in March, Topping Expectations on Strong  ...",b,2
Seth MacFarlane is matching donations to the Reading Rainbow Kickstarter,e,0
Security Guard in Critical Condition After Gatecrashers Storm Ultra,e,0
The Voice 2014 Season 6 Spoilers: Week 3 Blind Auditions Sneak Peek (VIDEO),e,0
"Game of Thrones, Entourage among shows that won't be available on Amazon  ...",e,0
Recalled beef may have been sent to stores in 10 states,m,3
"Too much sitting is linked to colon, endometrial cancers",m,3
Liza Minnelli's Rep Amazingly Sends Shia LaBeouf A DVD Of Cabaret After He  ...,e,0
Google's Android TV leaked in screenshots with Play Movies and Netflix,t,1
Democrats Push Bill Opposing Internet Fast Lanes,t,1
"Google Starts Removing European Search Results For ""Right to be Forgotten""",t,1
Texas' Biggest Power Company Files For Bankruptcy,b,2
Heartbleed: What Should Your Business Do About It?,t,1
Khloe Kardashian Moving In After Bieber Pays Lien on Mansion,e,0
“Fargo” Comes to Television,e,0
'Transformers' prevails as new films fizzle over July 4,e,0
"Credit Suisse bank pleads guilty in federal tax evasion case, agrees to pay $2.6B",b,2
Paul Walker's Brothers Will 'Fill In Small Gaps' In 'Fast & Furious 7' Production,e,0
"Apple moves toward health, home market with iOS 8, Yosemite",t,1
Apple WWDC 2014: Why developers are happy with new features in iOS 8,t,1
Amazon Phone This Week Likely To Be a Standout,t,1
SPOILER ALERT: How 'How I Met Your Mother' ended,e,0
Europe starting to see the flaws in the 'right to be forgotten' ruling,t,1
$100 worth of Android apps are free today from the Amazon Appstore,t,1
Euro steadier but still in the doldrums on ECB threat,b,2
Wal-Mart recalls dolls over burn risk,m,3
US highway safety agency abetted GM cover-up of defect linked to fatal crashes,b,2
Air pollution killed seven million people in 2012,m,3
UK Stocks Rise on Chinese Manufacturing Report; Aberdeen Jumps,b,2
Done Deal: Nokia Completes Sale of Mobile Unit to Microsoft,t,1
Samsung Galaxy S5 two minute review,t,1
Lindsay Lohan Destroys Car Over 'HIMYM' Anger,e,0
"Miley Cyrus ""Sad Kitty"" Lip Tattoo (PHOTO)",e,0
Amazon's 1st-quarter profit jumps 18 percent,b,2
Google Boosts Music Service with Songza,t,1
Mortgage Applications in US Dip as Rates Tick Down,b,2
McDonald's Sales Slip as Americans' Eating Habits Shift,b,2
Sofia Vergara and Nick Loeb call off engagement,e,0
FB Newswire is launched by Facebook and Storyful,t,1
Google Mounts $100K Project Ara Dev Challenge,t,1
Stay Up Late Or Get Up Early For The Blood Moon Lunar Eclipse,t,1
Don't Use Prescription Drugs to Relieve Babies of Teething Pain: FDA Warns,m,3
Alibaba Plans To List On NYSE,b,2
Foul Weather Begets Foul Moods Online,m,3
Dawn Of The Planet Of The Apes Presents A Message From Andy Serkis and  ...,e,0
NY among states that reach agreement with makers of malt liquor Four Loko on  ...,m,3
We're caught up in debating the next few quarters but the long-term is looking  ...,b,2
Blue Ivy Presents VMA to Mom Beyonce,e,0
Scientists find out why olive oil reduces blood pressure,m,3
Craziest parts of Shia LaBeouf's arrest,e,0
You are here! Home > Features Analyses > High cholesterol levels may impair  ...,m,3
Metro-North worker struck and killed by train in NYC; passengers resume trip 1½  ...,b,2
"China Mobile capex to rise 22 pct in 2014, aims to sell 100 mln 4G devices",b,2
Facebook Introduces Snapchat Rival Slingshot For Android,t,1
Spidey squashed by Neighbours,e,0
"Taylor Swift Visits with Cancer Patients, Inspires Hope and Joy",m,3
Skin cancer awareness campaign is launched,m,3
Chelsea Handler's Next Act,e,0
Married people less likely to have heart problems: study,m,3
Sharp Rise In MERS Cases May Mean The Virus Is Evolving,m,3
Amy Adams Gives Soldier 1st-Class Seat,e,0
Amazon Fire: 5 things to know,t,1
South Africa: The Relevance of Thomas Piketty for South Africa - Why Inequality  ...,b,2
Twitter appoints new CFO,b,2
"FOREX -Kiwi rallies on hawkish RBNZ, euro eyes ECB speech",b,2
Miley Cyrus Seemingly Blasts Liam Hemsworth In Expletive-Filled Rant,e,0
Google working to develop a car without a steering wheel,t,1
"US hospital warns patients of possible HIV, Hepatitis exposure",m,3
Jump for US jobless claims,b,2
Facebook tightens its privacy settings,t,1
CT Official To Lead Federal Healthcare Marketplace,m,3
​Prince William and Prince George get a chocolate makeover for Father's Day,e,0
Cheap Junk Food Could Be Key Contributor To Obesity,m,3
Breast cancer patients risk of 'severe' surgery,m,3
Chris Hemsworth and Elsa Pataky's twins are named ...,e,0
Ohio Health Officials Say Mumps Outbreak at OSU Has Spread Beyond University,m,3
Morgan Stanley Sees Tesla Motors In Sensitive Position Due To Giga Standoff,b,2
Watch OutKast's Entire Reunion Set At Coachella,e,0
"INVESTOR ALERT: Levi & Korsinsky, LLP Announces Investigation of MICROS  ...",b,2
FDA: Jerky treats linked to at least 1000 dog deaths,m,3
Significant Decline in Deaths After Massachusetts' Health Reform,m,3
Michigan Health Officials Confirm West Nile Virus Found in State,m,3
Miranda Fugate Hit with Shovel in CRAZY Vine Video: Watch Now!,e,0
Low blood sugar bad for marital bliss,m,3
Ebola-hit west Africa launches battle plan,m,3
"Tobacco firm Lorillard's 1Q profit falls 17 pct on higher costs, less cigs, year-ago  ...",m,3
2 Winners and 1 Loser From Microsoft's New Office for iPad,t,1
"Autism diagnoses increases by 30 pct nationwide, CDC study shows",m,3
History Made as Modified Measles Virus Cures Cancer Patient,m,3
"Music Video Review: Lana Del Rey, ""West Coast""",e,0
"Rihanna, Nicki Minaj, Iggy Azalea, & Rita Ora Attend MTV Movie Awards",e,0
"'Scandal' 3.16 Sneak Peeks: Andrew Woos Mellie, Jake Scares Olivia",e,0
Mr. Awesome: Florida boy's self-portrait goes viral after he die,m,3
Technology giants band together to prevent the next Heartbleed,t,1
Samsung launches Galaxy S5 in India,t,1
"JPMorgan Won't Help the Market, but it Could Help Your Portfolio",b,2
Holcim in talks with Lafarge about cement-maker merger,b,2
Misconduct Found in Acid-Bath Stem Cell Study,m,3
Seven Million Lives Lost Due To Indoor And Outdoor Air Pollution: WHO Report,m,3
Morgan Stanley Profit Jumps 53%,b,2
Once-conjoined twins leave Dallas hospital,m,3
BMW to recall more than 156000 vehicles,t,1
Unemployment figure drops below 7%,b,2
L'Wren Scott leaves her fortune to longtime love Mick Jagger,e,0
Facebook manipulated emotions in secret study,t,1
New Ford Engine to Add 300 Jobs at Ohio Plant,t,1
Mozilla Registers Swell Of Negative Feedback Following Eich Ouster,t,1
Adam Driver - Star Wars VII to start filming in May,e,0
The long history of hitting the pause button on Obamacare,b,2
Apache wants to pull out of Kitimat LNG,b,2
Embed video Video URL,b,2
Live Broadcast Of Panda Birth Cancelled After It Emerges The Mother Was  ...,m,3
Samsung Galaxy S5 priced at Rs 54300 in India,t,1
Home»Hot Wheels»Google Self Driving Car With No Steering Wheel Showed  ...,t,1
Oversold Condition Prompts Bargain Hunting,b,2
Emirates backs out of Airbus deal,b,2
Speed read,m,3
"Diane Sawyer Leaving 'World News,' David Muir To Replace Her",e,0
Mick Jagger and ex-wife Jerry Hall spend Father's Day with their children in Vienna,e,0
Brad and Angelina won't change security detail,e,0
"Mannkind (MNKD) - Right Stock, Wrong Time",m,3
AZ updates on oncology pipeline at ASCO,m,3
"Sleep disorders may raise risk of Alzheimer's, new research shows",m,3
Ryan Gosling Resurfaces With New Movie – And Constant Hotness,e,0
Schumacher medical files stolen,m,3
"Andy Samberg, Charlize Theron To Host Upcoming 'SNL' Shows",e,0
Stocks close below record; FMC slides,t,1
Study: Harmful germs can live on plane surfaces,m,3
Watch Bill Murray Give a Bachelor-Party Speech,e,0
"Apps at Google I/O: Slides, Android TV remote control, Office support and more!",t,1
Zac Efron – Punched in Face!,e,0
Full Moon On Friday The 13th Increases Superstitious Beliefs,t,1
25 Actors You Forgot Were on 'Seinfeld',e,0
Hard to be a working mom: Fox,e,0
Neil Patrick Harris becomes emotional on series finale,e,0
"It's confirmed: Apple wants you to buy smartphone, tablet and computer",t,1
Bloomberg-led group tallies cost of climate change,b,2
Almost blind Michigan man 'seeing something new every day' thanks to new  ...,m,3
Watching Too Much Television Can Shorten Your Life Span,m,3
WWE Money in the Bank 2014: John Cena and Seth Rollins win big,b,2
Get Your First Look of Henry Cavill in Costume for Batman v. Superman Film,e,0
Springfield-Area Gas Prices Down Over 3 Cents,t,1
The Latest Wacky Food Misadventure: A Year Without Sugar,m,3
Beyonce Fuels Jay-Z Cheating Rumors After Changing Lyrics of 'Resentment  ...,e,0
Human stem cells help mice with MS-like disease to walk,m,3
UNICEF swiftly responds to Ebola outbreak in Guinea,m,3
People Around The World Forced To Live Through 30-Minute Facebook Outage,t,1
"The Voice recap: Decisions, decisions",e,0
20 New Jersey residents test positive for Chikungunya virus,m,3
Rob Owen: Drama 'Penny Dreadful' shambles onto Showtime,e,0
Uncertainty persists as health-care deadline approaches,b,2
India's Sun Pharma buys Ranbaxy in $4 billion deal,b,2
Kim Kardashian & Kanye West's Wedding Guests Will Get Private Tour of  ...,e,0
"Facebook won't rebrand the Oculus Rift, say the social giant",t,1
Downsize the Doctors,m,3
Breaking Bad and Bryan Cranston win Emmy Awards,e,0
"Why tying the knot is better for the heart, literally",m,3
Health care sign-ups could use miracle finish,m,3
2 community organizations to offer free HIV testing Friday,m,3
NSA leaks fueled needed debate: Snowden,t,1
Dems Question Gilead Price,b,2
Chris Christie tries to move past scandal with comedy,e,0
Leaders urge 'restraint' on e-cigarette regulation,m,3
Gasoline Prices on the rise nationwide,t,1
The Bachelor couple: Have they called it quits?,e,0
Search for missing Malaysian plane 'could take years',b,2
Apple beats Samsung in court but loses in marketplace,t,1
It is better to do than to think,m,3
Brent Slips Below $110 On Supply Increase,b,2
"Samsung, LG launch smartwatches on Google software",t,1
Spending Bill Would Allow Some Schools to Wiggle Out of New Nutrition  ...,m,3
Social Security closes offices even as baby boomers age,b,2
HTC W8 Windows Phone 8.1 Smartphone Set to Launch in Q3 2014: Device to  ...,t,1
France's Socialist government goes full tilt orchestrating Alstom deal,b,2
Tanning beds blamed for rise in cases deadly melanoma skin cancer,m,3
Caregivers mixed on the safety of water births,m,3
"AT&T lays out plan for gigabit Internet dominance, setting up Google Fiber  ...",t,1
'Batman V Superman': A Legal Thriller (We Hope),e,0
Watch a Gigantic Solar Eruption Happen in Slow Motion,t,1
US Index Futures Little Changed After S&P 500 Erases '14 Gain,b,2
Medications Cut Violence Among Mentally Ill in Study,m,3
New WHO reporting method for Ebola reduces death toll in Sierra Leone,m,3
"Rare footage shows FDR walking at 1937 All-Star game, dispelling, experts say  ...",e,0
Countdown begins: Windows XP Support ends in 14 hours 24 minutes,t,1
MH370: US law firm initiates legal action,b,2
Game of Thrones premiere crashes HBO's online streaming service,e,0
India facing a blood shortage of 3 million units,m,3
Software bug causes major data theft risk,t,1
US new-home sales plunge 14.5% in March,b,2
Latest county health rankings out,m,3
"Probably no 'Transformers 5' in 2016, Michael Bay slams critics",e,0
VIDEO: Sean FitzPatrick speaks of “six years of great personal difficulty” after  ...,b,2
Devon to sell oil and gas assets to Linn Energy,b,2
Stiffening competition spurs possible Flipkart-Myntra deal,b,2
Many Support 'Obamacare' Birth Control Provision,m,3
"Google: Word 'Glass' Is Our Trademark, But U.S. Says Not So Fast",t,1
LG G3 vs Samsung Galaxy S5: Full spec comparison,t,1
Reminder: Vaccination Clinic Today for Hepatitis-A,m,3
Deepening Ebola crisis blamed on 'gross misjudgment',m,3
Can the New HTC One Swim?,t,1
Interview with new Nokia CEO - video,t,1
"AP Music WriterApril 12, 2014 Updated 16 minutes ago",e,0
Argentina not in default: cabinet chief,b,2
P. Diddy changes name back to Puff Daddy,e,0
Moto X vs Moto G – Comparison of Specifications and Pricing,t,1
Posted by Parvez Jabri,t,1
Feds: Airlines should disclose added fees,b,2
Scientists meeting in Japan say global warming brings risks and chance to build  ...,t,1
"George Clooney Is Engaged! 14 Ex-Flames, One Beloved Pig (PHOTOS)",e,0
How the Dow Jones industrial average and other major indexes fared on  ...,b,2
CORRECTED-Intel raises outlook on stronger PC demand,b,2
Fleetwood Mac to launch tour with both McVies,e,0
"Julianne Moore, Timothy Spall, 'Winter Sleep' Take Top Prizes at Cannes",e,0
Etihad to acquire 49% stake in Italian airline,b,2
NIGER - Areva puts Imouraren back beyond 2017,b,2
"'The After,' From 'X-Files' Creator Chris Carter, Among 6 New Amazon Shows",e,0
GM's latest recall the carmaker's 38th this year,t,1
Samsung Galaxy S3 Mini Update Instructions To Android 4.3,t,1
Russia has 'reduced to zero' gas shipments for Ukraine: Kiev,b,2
Dubai to build world's largest shopping mall,b,2
Nashville's Aubrey Peeples will lead Jon M. Chu's Jem and the Holograms as Jem,e,0
US court rejects Argentina's appeal of US$1.33 billion payment in bond case,b,2
Weight of world 2 1 billion people obese or overweight,m,3
Kay Hagan to Planned Parenthood: I got your back,m,3
New Details Emerge About Bigger New Surface Pro,t,1
Android Wear: This Is Google's Answer to the Smartwatch (and You'll Love It),t,1
'Rio 2': The Reviews Are In,e,0
What keeps me going,m,3
Hugh Jackman as Wolverine: beefing up is hard to do,e,0
Game of Thrones Recap: A Reckoning for Tyrion,e,0
Facebook COO Sheryl Sandberg meets Ravi Shankar Prasad,t,1
FTC: T-Mobile made millions off fake charges,t,1
Investigation continues after 'Shield' actor Michael Jace charged in wife's death,e,0
Tesla Thaw? Suddenly States Are Moving On Laws Favoring The Company's  ...,b,2
Joan Rivers Refuses To Apologize For Crass Joke About Kidnapped Cleveland  ...,e,0
Grain futures; US corn falls to 4-month low on upbeat crop outlook,b,2
iOS 8 beta jailbreak efforts are off to a promising start,t,1
"Berkshire Discloses Half A Billion Dollar Stake In Verizon (VZ, WMT, IBM, DVA  ...",b,2
Apple launches iPhone 5c that is £40 cheaper,t,1
"Challen Cates talks 'A Million Ways to Die in the West,' Liam Neeson and Seth  ...",e,0
Pfizer Drops Pursuit Of AstraZeneca,b,2
Singapore Gets Top Marks for Moms,m,3
Big buy for Williams,b,2
Elephants can gauge threat from human voices: Study,t,1
"Bank of England should be on alert for interest rate rise, says MPC member",b,2
"Twitter usage SOARS in Turkey, let alone succumbing to 'the ban'",b,2
Express Scripts looks to force Gilead to cut price of Sovaldi,m,3
On Air Now,e,0
"Philips, Salesforce cooperate on medical platform",b,2
WhatsApp founder says Facebook ownership won't change privacy,t,1
West Nile virus confirmed in Oak Lawn,m,3
Kim Kardashian 'Sickened' by Racism and Ready to Fight Back,e,0
"Asia Trip Shows Robust Apple (AAPL) Enthusiasm, Innovation; iWatch Could Be  ...",t,1
The Voice: Season 6 Finale Recap 5/20/14,e,0
Sony's Project Morpheus is a VR headset for PS4,t,1
VIDEO: WHO Declares India Free Of Polio,m,3
Fasting diets like the 5:2 'can help prevent diabetes by reducing cholesterol after  ...,m,3
Texas' Energy Future Holdings files Chapter 11 reorganization plan to cut about  ...,b,2
Dwayne 'The Rock' Johnson Is 'Hercules': See His Long Hair and Beefed-Up  ...,e,0
Google Maps 'Time Machine' Lets You Stroll the Streets of the Past,t,1
"Low Back Pain Is Leading Cause Of Disability, Study Says",m,3
J.K. Rowling's Harry Potter Follow-Up Will Be Bigger Than You Ever Imagined,e,0
BlackBerry shares jump off first quarter results,b,2
